Type,50,50Avg,50L1Norm,50Mean,150,150Avg,150L1Norm,150Mean,250,250Avg,250L1Norm,250Mean,350,350Avg,350L1Norm,350Mean,450,450Avg,450L1Norm,450Mean,570,570Avg,570L1Norm,570Mean,700,700Avg,700L1Norm,700Mean,840,840Avg,840L1Norm,840Mean,1000,1000Avg,1000L1Norm,1000Mean,1170,1170Avg,1170L1Norm,1170Mean,1370,1370Avg,1370L1Norm,1370Mean,1600,1600Avg,1600L1Norm,1600Mean,1850,1850Avg,1850L1Norm,1850Mean,2000,2000Avg,2000L1Norm,2000Mean,2150,2150Avg,2150L1Norm,2150Mean,2500,2500Avg,2500L1Norm,2500Mean,2900,2900Avg,2900L1Norm,2900Mean,3000,3000Avg,3000L1Norm,3000Mean,3400,3400Avg,3400L1Norm,3400Mean,4000,4000Avg,4000L1Norm,4000Mean,4800,4800Avg,4800L1Norm,4800Mean,5000,5000Avg,5000L1Norm,5000Mean,5800,5800Avg,5800L1Norm,5800Mean,6000,6000Avg,6000L1Norm,6000Mean,7000,7000Avg,7000L1Norm,7000Mean,8000,8000Avg,8000L1Norm,8000Mean,8500,8500Avg,8500L1Norm,8500Mean,9000,9000Avg,9000L1Norm,9000Mean,10000,10000Avg,10000L1Norm,10000Mean,10500,10500Avg,10500L1Norm,10500Mean,11000,11000Avg,11000L1Norm,11000Mean,12000,12000Avg,12000L1Norm,12000Mean,13000,13000Avg,13000L1Norm,13000Mean,13500,13500Avg,13500L1Norm,13500Mean,14000,14000Avg,14000L1Norm,14000Mean,15000,15000Avg,15000L1Norm,15000Mean,16000,16000Avg,16000L1Norm,16000Mean,17000,17000Avg,17000L1Norm,17000Mean,18000,18000Avg,18000L1Norm,18000Mean,19000,19000Avg,19000L1Norm,19000Mean,20000,20000Avg,20000L1Norm,20000Mean
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61233234,9.641557E-06,0.039491817,9.641557E-06,0.71464807,9.458563E-06,0.038742274,9.458563E-06,0.7967242,8.845083E-06,0.03622946,8.845083E-06,0.8684416,8.22259E-06,0.033679727,8.22259E-06,0.93084395,8.333612E-06,0.034134474,8.333612E-06,1.0062369,1.0769834E-05,0.04411324,1.0769834E-05,1.0651991,1.4455122E-05,0.05920818,1.4455122E-05,1.0857923,1.6320226E-05,0.066847645,1.6320226E-05,1.0907164,1.7684812E-05,0.07243699,1.7684812E-05,1.0884471,1.9025809E-05,0.07792971,1.9025809E-05,1.0308344,1.8467259E-05,0.07564189,1.8467259E-05,1.0228331,1.8146853E-05,0.07432951,1.8146853E-05,1.0212417,1.6604183E-05,0.06801073,1.6604183E-05,1.0568281,1.4266076E-05,0.058433846,1.4266076E-05,1.0930065,1.1781221E-05,0.04825588,1.1781221E-05,1.1057007,1.1279404E-05,0.04620044,1.1279404E-05,1.1422614,9.683397E-06,0.039663196,9.683397E-06,1.1465176,9.375567E-06,0.038402323,9.375567E-06,1.1353445,8.270221E-06,0.033874825,8.270221E-06,1.0956845,7.68569E-06,0.031480588,7.68569E-06,1.0658917,7.5083053E-06,0.030754019,7.5083053E-06,1.0541239,7.3710626E-06,0.030191872,7.3710626E-06,1.0481359,7.134154E-06,0.029221496,7.134154E-06,1.0281851,7.0041947E-06,0.028689181,7.0041947E-06,0.9899211,6.853007E-06,0.028069917,6.853007E-06,0.869272,6.4669066E-06,0.02648845,6.4669066E-06,0.70822626,5.966715E-06,0.024439665,5.966715E-06,0.72814626,5.6833665E-06,0.023279069,5.6833665E-06,0.7473877,5.38285E-06,0.022048153,5.38285E-06,0.75014764,4.737637E-06,0.019405361,4.737637E-06,0.70835054,4.033032E-06,0.016519299,4.033032E-06,0.63673747,3.2711325E-06,0.013398559,3.2711325E-06,0.5696179,2.5368104E-06,0.010390775,2.5368104E-06,0.52821374,1.777559E-06,0.0072808815,1.777559E-06,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5181008,3.6741253E-06,0.015049217,3.6741253E-06,0.6106946,8.496182E-06,0.03480036,8.496182E-06,0.74069315,8.399428E-06,0.034404058,8.399428E-06,0.8546318,8.11192E-06,0.033226423,8.11192E-06,0.93331236,7.631061E-06,0.031256825,7.631061E-06,1.0013961,6.9838106E-06,0.028605688,6.9838106E-06,1.0425974,6.264767E-06,0.025660485,6.264767E-06,1.0833874,5.555018E-06,0.022753354,5.555018E-06,1.1010253,5.159796E-06,0.021134524,5.159796E-06,1.1207815,4.7857143E-06,0.019602286,4.7857143E-06,1.154908,4.014624E-06,0.0164439,4.014624E-06,1.2018752,3.3738932E-06,0.013819466,3.3738932E-06,1.2232169,3.2598477E-06,0.013352336,3.2598477E-06,1.2772753,2.9747823E-06,0.012184708,2.9747823E-06,1.2520155,2.9074276E-06,0.011908824,2.9074276E-06,1.2889377,3.057023E-06,0.012521566,3.057023E-06,1.284772,3.0991073E-06,0.012693943,3.0991073E-06,1.2415407,3.2542362E-06,0.013329351,3.2542362E-06,1.2269028,3.2802309E-06,0.013435826,3.2802309E-06,1.1815753,3.3322426E-06,0.013648866,3.3322426E-06,1.1625081,3.3144975E-06,0.013576182,3.3144975E-06,1.1275631,3.2959476E-06,0.0135002015,3.2959476E-06,1.1197841,3.2741439E-06,0.013410893,3.2741439E-06,1.0680541,3.2180908E-06,0.0131813,3.2180908E-06,1.021137,3.1800898E-06,0.013025648,3.1800898E-06,0.9985316,3.1330824E-06,0.012833105,3.1330824E-06,0.9690426,3.0107367E-06,0.0123319775,3.0107367E-06,1.07032,2.858189E-06,0.011707142,2.858189E-06,1.1108851,2.7734518E-06,0.011360059,2.7734518E-06,1.1394523,2.6816772E-06,0.01098415,2.6816772E-06,1.1536773,2.4587837E-06,0.010071178,2.4587837E-06,1.1006556,2.1465273E-06,0.008792176,2.1465273E-06,0.973329,1.7404523E-06,0.0071288925,1.7404523E-06,0.7759116,1.3173434E-06,0.0053958385,1.3173434E-06,0.7126286,4.3571285E-07,0.0017846798,4.3571285E-07,0.6461153,3.489953E-07,0.0014294847,3.489953E-07
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5884341,7.736108E-06,0.0316871,7.736108E-06,0.70418274,7.5084017E-06,0.030754413,7.5084017E-06,0.8164601,7.307984E-06,0.029933503,7.307984E-06,0.89919126,7.009407E-06,0.028710531,7.009407E-06,0.98421407,6.5667477E-06,0.026897399,6.5667477E-06,1.0493608,6.0202615E-06,0.024658991,6.0202615E-06,1.11139,5.4251996E-06,0.022221617,5.4251996E-06,1.1353962,5.0705094E-06,0.020768806,5.0705094E-06,1.1584355,4.721373E-06,0.019338744,4.721373E-06,1.1542842,3.9708266E-06,0.016264506,3.9708266E-06,1.1627392,3.3272918E-06,0.013628587,3.3272918E-06,1.177605,3.2114917E-06,0.01315427,3.2114917E-06,1.1887511,2.91945E-06,0.011958067,2.91945E-06,1.1751175,2.8472678E-06,0.011662409,2.8472678E-06,1.1368921,3.060286E-06,0.012534931,3.060286E-06,1.1185064,3.1196862E-06,0.012778235,3.1196862E-06,1.0377792,3.250103E-06,0.013312422,3.250103E-06,1.0536008,3.2586438E-06,0.013347405,3.2586438E-06,1.1116146,3.2188073E-06,0.0131842345,3.2188073E-06,1.1301318,3.1350864E-06,0.012841314,3.1350864E-06,1.125875,3.0998467E-06,0.012696972,3.0998467E-06,1.1133726,3.0718952E-06,0.012582483,3.0718952E-06,1.0620693,3.0264787E-06,0.012396457,3.0264787E-06,1.0206938,3.000105E-06,0.01228843,3.000105E-06,0.99341416,2.966201E-06,0.012149559,2.966201E-06,1.1241812,2.8705824E-06,0.011757906,2.8705824E-06,1.2158271,2.7434792E-06,0.011237291,2.7434792E-06,1.2254018,2.6706587E-06,0.010939018,2.6706587E-06,1.2074112,2.5899274E-06,0.0106083425,2.5899274E-06,1.2179626,2.3851755E-06,0.009769679,2.3851755E-06,1.1252023,2.0837124E-06,0.008534886,2.0837124E-06,0.98838174,1.6763255E-06,0.006866229,1.6763255E-06,0.8892659,1.2356783E-06,0.005061338,1.2356783E-06,0.8025236,3.8319013E-07,0.0015695468,3.8319013E-07,0.58151984,3.2702914E-07,0.0013395114,3.2702914E-07
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502342,7.7626455E-06,0.031795796,7.7626455E-06,0.6065107,7.5304238E-06,0.030844616,7.5304238E-06,0.6884865,7.3365736E-06,0.030050606,7.3365736E-06,0.7275394,7.0503306E-06,0.028878154,7.0503306E-06,0.74999315,6.6129755E-06,0.027086748,6.6129755E-06,0.8277565,6.042895E-06,0.024751699,6.042895E-06,0.8568593,5.3936474E-06,0.02209238,5.3936474E-06,0.90823644,5.006157E-06,0.02050522,5.006157E-06,0.9735872,4.6325545E-06,0.018974943,4.6325545E-06,1.0592699,3.8679896E-06,0.015843285,3.8679896E-06,1.0762162,3.2438254E-06,0.013286709,3.2438254E-06,1.0923266,3.1296295E-06,0.012818962,3.1296295E-06,1.130883,2.807167E-06,0.011498156,2.807167E-06,1.139706,2.5796862E-06,0.010566395,2.5796862E-06,1.1045259,2.4430576E-06,0.010006764,2.4430576E-06,1.0904082,2.414465E-06,0.009889648,2.414465E-06,1.0179859,2.2993872E-06,0.00941829,2.2993872E-06,0.99637467,2.2726554E-06,0.009308796,2.2726554E-06,0.95718604,2.2069635E-06,0.009039722,2.2069635E-06,0.9530383,2.4122364E-06,0.00988052,2.4122364E-06,0.94071674,2.5365318E-06,0.010389634,2.5365318E-06,0.92089695,2.6440002E-06,0.010829825,2.6440002E-06,0.85929275,2.7836402E-06,0.01140179,2.7836402E-06,0.81920576,2.8128507E-06,0.011521436,2.8128507E-06,0.77495736,2.817107E-06,0.011538871,2.817107E-06,0.69601166,2.766248E-06,0.0113305515,2.766248E-06,0.6831618,2.6656194E-06,0.010918377,2.6656194E-06,0.66281295,2.6043697E-06,0.010667498,2.6043697E-06,0.63373977,2.5357497E-06,0.010386431,2.5357497E-06,0.61493725,2.3602643E-06,0.009667642,2.3602643E-06,0.63413876,2.0960904E-06,0.008585586,2.0960904E-06,0.6106621,1.7292139E-06,0.00708286,1.7292139E-06,0.5311748,1.3192226E-06,0.005403536,1.3192226E-06,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5020405,3.2072243E-05,0.1313679,3.2072243E-05,0.5435286,3.7682817E-05,0.15434882,3.7682817E-05,0.602593,4.1858424E-05,0.1714521,4.1858424E-05,0.6211014,4.317004E-05,0.17682448,4.317004E-05,0.62999785,4.3706514E-05,0.17902188,4.3706514E-05,0.6526327,4.283903E-05,0.17546867,4.283903E-05,0.69056386,3.9945095E-05,0.16361511,3.9945095E-05,0.7058111,3.911449E-05,0.16021295,3.911449E-05,0.7659371,3.588609E-05,0.14698942,3.588609E-05,0.8512124,3.223938E-05,0.1320525,3.223938E-05,0.9393941,2.927248E-05,0.11990008,2.927248E-05,0.95464647,2.8754679E-05,0.117779166,2.8754679E-05,0.98395467,2.707917E-05,0.11091628,2.707917E-05,0.9832385,2.669584E-05,0.10934616,2.669584E-05,0.9344566,2.460686E-05,0.100789696,2.460686E-05,0.912502,2.2039349E-05,0.09027317,2.2039349E-05,0.9339418,2.0589512E-05,0.08433464,2.0589512E-05,0.94195706,1.9083416E-05,0.07816567,1.9083416E-05,0.9183462,1.610685E-05,0.065973654,1.610685E-05,0.8881435,1.4771332E-05,0.060503375,1.4771332E-05,0.84745425,1.3651522E-05,0.055916633,1.3651522E-05,0.74279124,1.2082426E-05,0.049489617,1.2082426E-05,0.6236784,1.060107E-05,0.043421984,1.060107E-05,0.60524064,9.949138E-06,0.04075167,9.949138E-06,0.5851844,9.046965E-06,0.037056368,9.046965E-06,0.5186944,8.039802E-06,0.03293103,8.039802E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54760194,2.43458E-05,0.099720396,2.43458E-05,0.6602431,2.2595015E-05,0.09254918,2.2595015E-05,0.74531186,2.5097586E-05,0.10279971,2.5097586E-05,0.7984878,3.122413E-05,0.12789404,3.122413E-05,0.83736,3.7262198E-05,0.15262596,3.7262198E-05,0.83808535,4.109352E-05,0.16831906,4.109352E-05,0.8734291,4.194324E-05,0.17179951,4.194324E-05,0.89381635,4.1871288E-05,0.1715048,4.1871288E-05,0.8888637,3.9236205E-05,0.1607115,3.9236205E-05,0.8461672,3.436873E-05,0.14077432,3.436873E-05,0.83975935,3.3126573E-05,0.13568644,3.3126573E-05,0.8059778,2.8660777E-05,0.117394544,2.8660777E-05,0.8177373,2.3761548E-05,0.0973273,2.3761548E-05,0.8647996,1.9389938E-05,0.079421185,1.9389938E-05,0.8896673,1.8545206E-05,0.075961165,1.8545206E-05,0.9706671,1.5817184E-05,0.06478719,1.5817184E-05,0.9851537,1.526117E-05,0.06250975,1.526117E-05,1.0173047,1.3021542E-05,0.053336237,1.3021542E-05,0.9855603,1.1445838E-05,0.046882153,1.1445838E-05,0.95134306,1.0825675E-05,0.044341967,1.0825675E-05,0.9093291,1.0319042E-05,0.042266797,1.0319042E-05,0.8146981,9.613746E-06,0.039377905,9.613746E-06,0.7669506,9.36376E-06,0.03835396,9.36376E-06,0.7208489,9.139991E-06,0.0374374,9.139991E-06,0.6349164,8.670916E-06,0.035516072,8.670916E-06,0.5544205,8.327309E-06,0.034108657,8.327309E-06,0.553526,8.021686E-06,0.032856826,8.021686E-06,0.54751384,7.517499E-06,0.030791676,7.517499E-06,0.5213461,6.9538582E-06,0.028483003,6.9538582E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5309526,7.6228707E-06,0.031223278,7.6228707E-06,0.63032687,2.2918035E-05,0.09387227,2.2918035E-05,0.7263397,2.4175224E-05,0.09902172,2.4175224E-05,0.8258355,2.265679E-05,0.09280221,2.265679E-05,0.89006287,2.5477873E-05,0.10435737,2.5477873E-05,0.9276841,3.1587653E-05,0.12938303,3.1587653E-05,1.0063107,3.7448168E-05,0.1533877,3.7448168E-05,1.0511199,4.1197854E-05,0.16874641,4.1197854E-05,1.0759025,4.2024156E-05,0.17213094,4.2024156E-05,1.0876765,4.1935527E-05,0.17176792,4.1935527E-05,1.1168135,3.926135E-05,0.1608145,3.926135E-05,1.1446563,3.429611E-05,0.14047687,3.429611E-05,1.1403023,3.3009357E-05,0.13520633,3.3009357E-05,1.1231567,2.830252E-05,0.11592712,2.830252E-05,1.102349,2.3094677E-05,0.0945958,2.3094677E-05,1.0160218,1.8634282E-05,0.07632602,1.8634282E-05,0.990722,1.779359E-05,0.07288255,1.779359E-05,0.88853264,1.5134648E-05,0.061991517,1.5134648E-05,0.8638073,1.4604099E-05,0.05981839,1.4604099E-05,0.74938726,1.2520504E-05,0.051283985,1.2520504E-05,0.6501963,1.110155E-05,0.045471948,1.110155E-05,0.6320811,1.0585097E-05,0.043356556,1.0585097E-05,0.620448,1.0175583E-05,0.04167919,1.0175583E-05,0.5855333,9.59821E-06,0.03931427,9.59821E-06,0.5639597,9.380971E-06,0.03842446,9.380971E-06,0.54050654,9.175827E-06,0.037584186,9.175827E-06,0.5035407,8.725315E-06,0.03573889,8.725315E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5329454,2.3134886E-05,0.09476049,2.3134886E-05,0.6473777,2.1269678E-05,0.0871206,2.1269678E-05,0.7347039,2.2801818E-05,0.09339625,2.2801818E-05,0.79375523,2.8866914E-05,0.11823888,2.8866914E-05,0.8424909,3.539946E-05,0.14499618,3.539946E-05,0.84527636,3.9481794E-05,0.16171743,3.9481794E-05,0.850044,4.0421422E-05,0.16556615,4.0421422E-05,0.84612674,4.040884E-05,0.1655146,4.040884E-05,0.84142244,3.7804035E-05,0.15484533,3.7804035E-05,0.83106655,3.2745033E-05,0.13412365,3.2745033E-05,0.82638764,3.13942E-05,0.12859064,3.13942E-05,0.8082241,2.6266454E-05,0.1075874,2.6266454E-05,0.8436146,2.0235933E-05,0.08288638,2.0235933E-05,0.8891745,1.5756246E-05,0.064537585,1.5756246E-05,0.8984874,1.5078167E-05,0.061760172,1.5078167E-05,0.91887254,1.33522935E-05,0.054690994,1.33522935E-05,0.91851985,1.3053141E-05,0.053465664,1.3053141E-05,0.8796636,1.1745359E-05,0.04810899,1.1745359E-05,0.9961625,1.0680824E-05,0.043748654,1.0680824E-05,1.0328541,1.0260881E-05,0.04202857,1.0260881E-05,1.0520638,9.935529E-06,0.040695928,9.935529E-06,1.0358417,9.525029E-06,0.03901452,9.525029E-06,1.0018752,9.366348E-06,0.038364563,9.366348E-06,0.9528466,9.205894E-06,0.03770734,9.205894E-06,0.81836516,8.808459E-06,0.036079448,8.808459E-06,0.7429513,8.263492E-06,0.033847265,8.263492E-06,0.7561833,7.957633E-06,0.032594465,7.957633E-06,0.75579876,7.4846703E-06,0.03065721,7.4846703E-06,0.713246,6.8791783E-06,0.028177114,6.8791783E-06,0.65696216,6.2102854E-06,0.025437329,6.2102854E-06,0.5832852,5.8378605E-06,0.023911877,5.8378605E-06,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5184598,2.1915303E-05,0.08976508,2.1915303E-05,0.5378113,2.2488142E-05,0.09211143,2.2488142E-05,0.65009534,2.1155813E-05,0.08665421,2.1155813E-05,0.7571298,2.3217524E-05,0.09509898,2.3217524E-05,0.8512685,2.8814073E-05,0.11802244,2.8814073E-05,0.918918,3.505196E-05,0.14357282,3.505196E-05,0.94868773,3.9051134E-05,0.15995345,3.9051134E-05,0.94782746,3.9971266E-05,0.1637223,3.9971266E-05,0.96085364,3.9937706E-05,0.16358484,3.9937706E-05,0.9825461,3.724552E-05,0.15255766,3.724552E-05,1.12116,3.2014752E-05,0.13113242,3.2014752E-05,1.1423311,3.061145E-05,0.1253845,3.061145E-05,1.1792202,2.5201385E-05,0.10322487,2.5201385E-05,1.235158,1.8620467E-05,0.07626943,1.8620467E-05,1.2345746,1.3593774E-05,0.0556801,1.3593774E-05,1.2187008,1.2938187E-05,0.052994814,1.2938187E-05,1.2395874,1.1814737E-05,0.048393164,1.1814737E-05,1.2525508,1.1635044E-05,0.04765714,1.1635044E-05,1.2727333,1.0773153E-05,0.044126835,1.0773153E-05,1.226525,9.891558E-06,0.04051582,9.891558E-06,1.1816051,9.5053465E-06,0.0389339,9.5053465E-06,1.1244663,9.181622E-06,0.037607923,9.181622E-06,0.9836208,8.711757E-06,0.035683356,8.711757E-06,0.9691465,8.530547E-06,0.034941122,8.530547E-06,0.9786628,8.351435E-06,0.03420748,8.351435E-06,0.9578639,7.915652E-06,0.03242251,7.915652E-06,0.8929145,7.3456604E-06,0.030087825,7.3456604E-06,0.84668374,7.0424767E-06,0.028845984,7.0424767E-06,0.7921319,6.4604237E-06,0.026461896,6.4604237E-06,0.8257604,6.174893E-06,0.025292361,6.174893E-06,0.82588094,5.5895666E-06,0.022894865,5.5895666E-06,0.74300724,5.4021034E-06,0.022127016,5.4021034E-06,0.6039269,4.5312545E-06,0.018560018,4.5312545E-06,0.6031514,2.9269838E-06,0.011988926,2.9269838E-06,0.54023635,4.6293624E-07,0.0018961868,4.6293624E-07
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55239385,2.026779E-05,0.083016865,2.026779E-05,0.6162659,2.1527183E-05,0.08817534,2.1527183E-05,0.7021523,2.0378598E-05,0.08347074,2.0378598E-05,0.79838747,2.1701773E-05,0.08889046,2.1701773E-05,0.8630058,2.788306E-05,0.11420901,2.788306E-05,0.9139344,3.449266E-05,0.14128193,3.449266E-05,0.9713216,3.864258E-05,0.15828001,3.864258E-05,1.0096976,3.9605213E-05,0.16222295,3.9605213E-05,1.0593321,3.960043E-05,0.16220336,3.960043E-05,1.111141,3.6991223E-05,0.15151605,3.6991223E-05,1.1687139,3.1842606E-05,0.13042732,3.1842606E-05,1.174572,3.045258E-05,0.12473377,3.045258E-05,1.1628909,2.5080732E-05,0.10273068,2.5080732E-05,1.1418571,1.8561175E-05,0.076026574,1.8561175E-05,1.1093874,1.39206295E-05,0.0570189,1.39206295E-05,1.0948339,1.3269635E-05,0.054352425,1.3269635E-05,1.0259347,1.1870277E-05,0.048620656,1.1870277E-05,1.007321,1.1670107E-05,0.047800757,1.1670107E-05,0.9126979,1.0723121E-05,0.043921903,1.0723121E-05,0.8203843,9.764606E-06,0.039995827,9.764606E-06,0.7754443,9.343579E-06,0.0382713,9.343579E-06,0.73085433,9.002132E-06,0.036872733,9.002132E-06,0.6410225,8.58735E-06,0.035173785,8.58735E-06,0.5980551,8.425146E-06,0.034509398,8.425146E-06,0.58731896,8.256234E-06,0.033817533,8.256234E-06,0.5650315,7.835324E-06,0.032093488,7.835324E-06,0.54201853,7.27545E-06,0.029800244,7.27545E-06,0.53072417,6.981303E-06,0.028595418,6.981303E-06,0.5197043,6.2448335E-06,0.025578838,6.2448335E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50256115,1.8347258E-05,0.07515037,1.8347258E-05,0.59612155,1.9770358E-05,0.080979384,1.9770358E-05,0.6793972,1.9799783E-05,0.08109991,1.9799783E-05,0.7273316,2.1980986E-05,0.09003412,2.1980986E-05,0.7693541,2.7996646E-05,0.11467426,2.7996646E-05,0.8006429,3.4476805E-05,0.141217,3.4476805E-05,0.8475152,3.8567538E-05,0.15797263,3.8567538E-05,0.87503576,3.9511066E-05,0.16183732,3.9511066E-05,0.89341277,3.9487004E-05,0.16173877,3.9487004E-05,0.9723029,3.677748E-05,0.15064056,3.677748E-05,1.06464,3.1465646E-05,0.12888329,3.1465646E-05,1.0770227,3.003041E-05,0.123004556,3.003041E-05,1.098051,2.4458846E-05,0.100183435,2.4458846E-05,1.0787731,1.7500548E-05,0.071682245,1.7500548E-05,1.0480974,1.2004437E-05,0.049170174,1.2004437E-05,1.0605266,1.1560659E-05,0.04735246,1.1560659E-05,1.0965686,1.079185E-05,0.04420342,1.079185E-05,1.101676,1.0676535E-05,0.043731086,1.0676535E-05,1.1000243,1.0069416E-05,0.041244328,1.0069416E-05,1.0509824,9.371654E-06,0.038386296,9.371654E-06,1.0094881,9.06621E-06,0.037135195,9.06621E-06,0.99442565,8.844478E-06,0.03622698,8.844478E-06,0.982122,8.538303E-06,0.034972887,8.538303E-06,0.95510393,8.405163E-06,0.034427546,8.405163E-06,0.914874,8.258699E-06,0.033827633,8.258699E-06,0.79954326,7.866003E-06,0.03221915,7.866003E-06,0.67606467,7.3133265E-06,0.029955385,7.3133265E-06,0.6932788,7.0161013E-06,0.028737951,7.0161013E-06,0.6986338,6.2349354E-06,0.025538296,6.2349354E-06,0.674624,6.040964E-06,0.024743788,6.040964E-06,0.61125606,5.4960583E-06,0.022511855,5.4960583E-06,0.5226433,5.371721E-06,0.022002568,5.371721E-06,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55181384,6.085269E-06,0.024925262,6.085269E-06,0.65740746,1.8378216E-05,0.07527717,1.8378216E-05,0.74259746,1.939475E-05,0.0794409,1.939475E-05,0.8049389,1.9030187E-05,0.07794765,1.9030187E-05,0.8609183,2.1302681E-05,0.08725578,2.1302681E-05,0.89020634,2.7328275E-05,0.111936614,2.7328275E-05,0.91968703,3.406016E-05,0.13951041,3.406016E-05,0.9645622,3.8262915E-05,0.1567249,3.8262915E-05,0.9991061,3.9247087E-05,0.16075607,3.9247087E-05,1.0457165,3.9256847E-05,0.16079605,3.9256847E-05,1.1100323,3.660407E-05,0.14993027,3.660407E-05,1.1455764,3.133885E-05,0.12836392,3.133885E-05,1.1675944,2.9914558E-05,0.12253003,2.9914558E-05,1.2183039,2.4391891E-05,0.09990919,2.4391891E-05,1.2171309,1.7569064E-05,0.071962886,1.7569064E-05,1.1455517,1.2728455E-05,0.05213575,1.2728455E-05,1.121737,1.2137764E-05,0.049716283,1.2137764E-05,1.0162075,1.0986366E-05,0.045000155,1.0986366E-05,0.9883844,1.082594E-05,0.04434305,1.082594E-05,0.8888646,1.0054953E-05,0.04118509,1.0054953E-05,0.83756226,9.198222E-06,0.037675917,9.198222E-06,0.80901754,8.785409E-06,0.035985034,8.785409E-06,0.77861583,8.419613E-06,0.034486733,8.419613E-06,0.7128958,7.886269E-06,0.032302156,7.886269E-06,0.6781865,7.687092E-06,0.03148633,7.687092E-06,0.64278054,7.498644E-06,0.030714447,7.498644E-06,0.5715722,7.092616E-06,0.029051356,7.092616E-06,0.51694584,6.6418165E-06,0.02720488,6.6418165E-06,0.5012286,6.437973E-06,0.026369937,6.437973E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5137394,1.9629275E-05,0.08040151,1.9629275E-05,0.5346268,1.9002018E-05,0.07783227,1.9002018E-05,0.59510833,2.0434287E-05,0.08369884,2.0434287E-05,0.72236997,2.6681279E-05,0.10928652,2.6681279E-05,0.8247729,3.2825803E-05,0.13445449,3.2825803E-05,0.88888276,3.673774E-05,0.15047778,3.673774E-05,0.9086126,3.7662605E-05,0.15426603,3.7662605E-05,0.9174259,3.7665828E-05,0.15427923,3.7665828E-05,0.90694493,3.513836E-05,0.14392672,3.513836E-05,0.890039,3.0078434E-05,0.123201266,3.0078434E-05,0.88819516,2.8702922E-05,0.11756717,2.8702922E-05,0.86948794,2.3352994E-05,0.09565386,2.3352994E-05,0.8378011,1.6719529E-05,0.06848319,1.6719529E-05,0.9972295,1.1381883E-05,0.046620194,1.1381883E-05,1.0440053,1.0706415E-05,0.043853477,1.0706415E-05,1.1929032,9.649326E-06,0.03952364,9.649326E-06,1.2191839,9.489444E-06,0.038868763,9.489444E-06,1.277432,8.581529E-06,0.035149943,8.581529E-06,1.2215052,7.488232E-06,0.030671798,7.488232E-06,1.1932445,6.9817324E-06,0.028597176,6.9817324E-06,1.1795899,6.5926865E-06,0.027003644,6.5926865E-06,1.08107,6.140214E-06,0.025150316,6.140214E-06,1.0046096,6.0468733E-06,0.024767993,6.0468733E-06,0.9779318,6.010202E-06,0.024617787,6.010202E-06,1.0704387,5.98938E-06,0.0245325,5.98938E-06,1.1156869,5.920223E-06,0.024249233,5.920223E-06,1.1211401,5.8697497E-06,0.024042495,5.8697497E-06,1.1147152,5.8239943E-06,0.02385508,5.8239943E-06,1.0653243,5.7614843E-06,0.02359904,5.7614843E-06,0.97045094,5.3082936E-06,0.02174277,5.3082936E-06,0.8402379,5.1822803E-06,0.02122662,5.1822803E-06,0.6800924,4.4925964E-06,0.018401675,4.4925964E-06,0,0,0,0,0,0,0,0
